run_id,run_name,sweep_id,sweep_name,run_state,category,rl_enabled,aux_enabled,kl_enabled,topology_enabled,cpb_enabled,multi_epoch_ppo,replay_buffer_enabled,lm_reward_enabled,train_iters,use_rl_loss,rl_loss_coeff,moe_aux_loss_coeff,rl_reward_type,rl_discount_factor,rl_ppo_epochs,rl_replay_buffer_size,rl_lm_reward_coeff,rl_ppo_extra_lr,rl_reward_topn,rl_ppo_entropy_coeff,rl_algorithm,rl_ppo_baseline_type,rl_critic_hidden_dims,rl_normalize_rewards,rl_use_ema_loads,rl_critic_layer_aware,rl_ppo_clip_ratio,rl_ppo_reeval,kl_loss_coeff,moe_router_topology_aware,moe_router_topology_lambda,moe_router_critical_path_bias,moe_router_critical_path_topn,moe_router_critical_path_alpha,eval_critical_path,eval_lm_loss,eval_locality_ratio,eval_wall_time_sec,train_lm_loss,train_aux_loss,train_rl_loss,train_rl_mean_reward,train_rl_policy_loss,train_rl_value_loss,train_rl_entropy_bonus,train_rl_mean_advantage,train_grad_norm,train_num_tokens_on_critical_path,hellaswag,arc_challenge,winogrande,benchmark_avg,run_url,rl_per_token_rewards,moe_router_enable_expert_bias,moe_router_score_function,moe_router_bias_update_rate
ju9h6tui,PPO_batch_ent0_critic256_rlc2_n1_r68,84wy7dfg,gamma-sweep,finished,Aux,False,True,False,False,False,False,False,False,4000.0,False,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/ju9h6tui,,,,
yydfmfu7,PPO_batch_ent0_critic256_rlc2_n1_r67,84wy7dfg,gamma-sweep,finished,Aux,False,True,False,False,False,False,False,False,4000.0,False,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/yydfmfu7,,,,
y1fmjfx5,PPO_batch_ent0_critic256_rlc2_n1_r66,84wy7dfg,gamma-sweep,finished,Aux,False,True,False,False,False,False,False,False,4000.0,False,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/y1fmjfx5,,,,
sz55b437,PPO_batch_ent0_critic256_rlc2_n1_r65,84wy7dfg,gamma-sweep,finished,Aux,False,True,False,False,False,False,False,False,4000.0,False,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/sz55b437,,,,
y4imj4ou,PPO_batch_ent0_critic256_rlc2_n1_r64,84wy7dfg,gamma-sweep,finished,Baseline,False,False,False,False,False,False,False,False,4000.0,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/y4imj4ou,,,,
tg5gcydo,ptbin_n6_rlc0.01_g0.95_aux0.01_norm_PPO_ent0.01_c256_r61,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3473.780029296875,3.169712543487549,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/tg5gcydo,False,,,
buxqn57r,ptbin_n6_rlc0.01_g0.95_noaux_norm_PPO_ent0.01_c256_r60,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.95,,,,,6.0,0.01,ppo,critic,[256],True,,,,,,,,,,,5035.3798828125,5.180080413818359,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/buxqn57r,False,,,
wdxojx6p,ptbin_n2_rlc0.01_g0.95_aux0.01_norm_PPO_ent0.01_c256_r59,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3469.47998046875,3.256043672561645,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/wdxojx6p,False,,,
zyzwsbmr,ptbin_n2_rlc0.01_g0.95_noaux_norm_PPO_ent0.01_c256_r58,11oi7yzk,per-token-rl-sweep,finished,RL,True,False,False,False,False,False,False,False,1500.0,True,0.01,0.0,per_token_topn_binary,0.95,,,,,2.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3980.580078125,2.8915510177612305,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/zyzwsbmr,False,,,
uli89549,crit_n1_rlc0.01_g0.95_aux0.01_norm_PPO_ent0.01_c256_r57,11oi7yzk,per-token-rl-sweep,finished,RL + Aux,True,True,False,False,False,False,False,False,1500.0,True,0.01,0.01,critical_path,0.95,,,,,1.0,0.01,ppo,critic,[256],True,,,,,,,,,,,3574.2099609375,2.73880672454834,,,,,,,,,,,,,,,,,https://wandb.ai/nvr-israel/qwen3-router-training/runs/uli89549,False,,,
